Parameters 
Historical Customer:,80, Wait:,4.0, Average Shopping:,50.0, Queue:,5,
Values:,
 Queue 0 amount:, 3, at 6,:06,
Queue 1 amount:, 2, at 6,:06,
Queue 2 amount:, 3, at 6,:06,
Queue 3 amount:, 3, at 6,:06,
Queue 4 amount:, 3, at 6,:06,
Queue 0 amount:, 3, at 6,:08,
Queue 1 amount:, 1, at 6,:08,
Queue 2 amount:, 2, at 6,:08,
Queue 3 amount:, 3, at 6,:08,
Queue 4 amount:, 3, at 6,:08,
Queue 0 amount:,6, at 6,:10,
Queue 1 amount:,5, at 6,:10,
Queue 2 amount:,5, at 6,:10,
Queue 3 amount:,5, at 6,:10,
Queue 4 amount:,5, at 6,:10,
Queue 0 amount:,6, at 6,:12,
Queue 1 amount:,4, at 6,:12,
Queue 2 amount:,4, at 6,:12,
Queue 3 amount:,4, at 6,:12,
Queue 4 amount:,5, at 6,:12,
Queue 0 amount:,5, at 6,:14,
Queue 1 amount:,4, at 6,:14,
Queue 2 amount:,4, at 6,:14,
Queue 3 amount:,4, at 6,:14,
Queue 4 amount:,5, at 6,:14,
Queue 0 amount:,8, at 6,:16,
Queue 1 amount:,7, at 6,:16,
Queue 2 amount:,7, at 6,:16,
Queue 3 amount:,7, at 6,:16,
Queue 4 amount:,8, at 6,:16,
Queue 0 amount:,7, at 6,:18,
Queue 1 amount:,7, at 6,:18,
Queue 2 amount:,6, at 6,:18,
Queue 3 amount:,6, at 6,:18,
Queue 4 amount:,7, at 6,:18,
Queue 0 amount:,8, at 6,:20,
Queue 1 amount:,7, at 6,:20,
Queue 2 amount:,7, at 6,:20,
Queue 3 amount:,8, at 6,:20,
Queue 4 amount:,8, at 6,:20,
Queue 0 amount:,8, at 6,:22,
Queue 1 amount:,7, at 6,:22,
Queue 2 amount:,7, at 6,:22,
Queue 3 amount:,7, at 6,:22,
Queue 4 amount:,7, at 6,:22,
Queue 0 amount:,8, at 6,:24,
Queue 1 amount:,6, at 6,:24,
Queue 2 amount:,6, at 6,:24,
Queue 3 amount:,7, at 6,:24,
Queue 4 amount:,6, at 6,:24,
Queue 0 amount:,9, at 6,:26,
Queue 1 amount:,8, at 6,:26,
Queue 2 amount:,8, at 6,:26,
Queue 3 amount:,8, at 6,:26,
Queue 4 amount:,8, at 6,:26,
Queue 0 amount:,9, at 6,:28,
Queue 1 amount:,8, at 6,:28,
Queue 2 amount:,7, at 6,:28,
Queue 3 amount:,7, at 6,:28,
Queue 4 amount:,8, at 6,:28,
Queue 0 amount:,10, at 6,:30,
Queue 1 amount:,9, at 6,:30,
Queue 2 amount:,9, at 6,:30,
Queue 3 amount:,9, at 6,:30,
Queue 4 amount:,9, at 6,:30,
Queue 0 amount:,9, at 6,:32,
Queue 1 amount:,8, at 6,:32,
Queue 2 amount:,8, at 6,:32,
Queue 3 amount:,9, at 6,:32,
Queue 4 amount:,9, at 6,:32,
Queue 0 amount:,9, at 6,:34,
Queue 1 amount:,7, at 6,:34,
Queue 2 amount:,7, at 6,:34,
Queue 3 amount:,8, at 6,:34,
Queue 4 amount:,9, at 6,:34,
Queue 0 amount:,9, at 6,:36,
Queue 1 amount:,9, at 6,:36,
Queue 2 amount:,9, at 6,:36,
Queue 3 amount:,9, at 6,:36,
Queue 4 amount:,9, at 6,:36,
Queue 0 amount:,9, at 6,:38,
Queue 1 amount:,8, at 6,:38,
Queue 2 amount:,9, at 6,:38,
Queue 3 amount:,8, at 6,:38,
Queue 4 amount:,8, at 6,:38,
Queue 0 amount:,9, at 6,:40,
Queue 1 amount:,8, at 6,:40,
Queue 2 amount:,9, at 6,:40,
Queue 3 amount:,9, at 6,:40,
Queue 4 amount:,9, at 6,:40,
Queue 0 amount:,9, at 6,:42,
Queue 1 amount:,8, at 6,:42,
Queue 2 amount:,9, at 6,:42,
Queue 3 amount:,8, at 6,:42,
Queue 4 amount:,9, at 6,:42,
Queue 0 amount:,8, at 6,:44,
Queue 1 amount:,8, at 6,:44,
Queue 2 amount:,8, at 6,:44,
Queue 3 amount:,8, at 6,:44,
Queue 4 amount:,9, at 6,:44,
Queue 0 amount:,9, at 6,:46,
Queue 1 amount:,8, at 6,:46,
Queue 2 amount:,8, at 6,:46,
Queue 3 amount:,8, at 6,:46,
Queue 4 amount:,9, at 6,:46,
Queue 0 amount:,9, at 6,:48,
Queue 1 amount:,7, at 6,:48,
Queue 2 amount:,7, at 6,:48,
Queue 3 amount:,8, at 6,:48,
Queue 4 amount:,8, at 6,:48,
Queue 0 amount:,9, at 6,:50,
Queue 1 amount:,7, at 6,:50,
Queue 2 amount:,6, at 6,:50,
Queue 3 amount:,8, at 6,:50,
Queue 4 amount:,9, at 6,:50,
Queue 0 amount:,8, at 6,:52,
Queue 1 amount:,7, at 6,:52,
Queue 2 amount:,5, at 6,:52,
Queue 3 amount:,8, at 6,:52,
Queue 4 amount:,9, at 6,:52,
Queue 0 amount:,7, at 6,:54,
Queue 1 amount:,7, at 6,:54,
Queue 2 amount:,4, at 6,:54,
Queue 3 amount:,8, at 6,:54,
Queue 4 amount:,8, at 6,:54,
Queue 0 amount:,7, at 6,:56,
Queue 1 amount:,6, at 6,:56,
Queue 2 amount:,7, at 6,:56,
Queue 3 amount:,7, at 6,:56,
Queue 4 amount:,7, at 6,:56,
Queue 0 amount:,7, at 6,:58,
Queue 1 amount:,6, at 6,:58,
Queue 2 amount:,7, at 6,:58,
Queue 3 amount:,6, at 6,:58,
Queue 4 amount:,7, at 6,:58,
Queue 0 amount:, 6, at 7,:00,
Queue 1 amount:, 5, at 7,:00,
Queue 2 amount:, 7, at 7,:00,
Queue 3 amount:, 6, at 7,:00,
Queue 4 amount:, 7, at 7,:00,
Queue 0 amount:, 6, at 7,:02,
Queue 1 amount:, 5, at 7,:02,
Queue 2 amount:, 6, at 7,:02,
Queue 3 amount:, 6, at 7,:02,
Queue 4 amount:, 7, at 7,:02,
Queue 0 amount:, 5, at 7,:04,
Queue 1 amount:, 4, at 7,:04,
Queue 2 amount:, 6, at 7,:04,
Queue 3 amount:, 6, at 7,:04,
Queue 4 amount:, 6, at 7,:04,
